dataset,seed,method,scenario,p90_m,mean_m
UTSIndoorLoc,44,RC-NoReconstruction,top20_outage_plus_bias4db,23.3730426121559,11.501868239431692
UTSIndoorLoc,55,RC-NoAugCoord,clean,11.713474849844657,6.991293731168549
UTSIndoorLoc,55,RC-NoAugCoord,device_offset_-6db,12.623021858092027,7.130160951235209
UTSIndoorLoc,55,RC-NoAugCoord,persistent_bias_8db,11.793085366650269,6.9237908378386885
UTSIndoorLoc,55,RC-NoAugCoord,top20_outage,21.92398706688952,10.778337427023883
UTSIndoorLoc,55,RC-NoAugCoord,top20_outage_plus_bias4db,22.91933141381321,11.013201278307283
UTSIndoorLoc,55,RC-NoCoarseHeads,clean,12.662764515564568,7.06951297735451
UTSIndoorLoc,55,RC-NoCoarseHeads,device_offset_-6db,12.35114646652828,7.007122758067113
UTSIndoorLoc,55,RC-NoCoarseHeads,persistent_bias_8db,11.793985374921656,6.931527476416526
UTSIndoorLoc,55,RC-NoCoarseHeads,top20_outage,19.99889012039385,10.119519469728372
UTSIndoorLoc,55,RC-NoCoarseHeads,top20_outage_plus_bias4db,20.439818380538863,10.112829150497808
UTSIndoorLoc,55,RC-NoConsistency,clean,12.382744734001818,7.094264969961959
UTSIndoorLoc,55,RC-NoConsistency,device_offset_-6db,12.46843116851417,7.034270072663161
UTSIndoorLoc,55,RC-NoConsistency,persistent_bias_8db,11.884181545866232,7.024252288639666
UTSIndoorLoc,55,RC-NoConsistency,top20_outage,19.519445264829344,9.809659094447072
UTSIndoorLoc,55,RC-NoConsistency,top20_outage_plus_bias4db,19.355739301745672,9.768240220958296
UTSIndoorLoc,55,RC-NoCorruption,clean,13.506613832212322,7.531800446370726
UTSIndoorLoc,55,RC-NoCorruption,device_offset_-6db,14.185133838098151,7.681564246369229
UTSIndoorLoc,55,RC-NoCorruption,persistent_bias_8db,12.664212529881922,7.290964806555053
